"","logFC","AveExpr","t","P.Value","adj.P.Val","B","BH"
"TIGD3",0.0706578225059689,5.85041575880395,0.329609588501591,0.752973000142458,0.819492767818232,-7.68098079330182,0.819492767818232
"TARS3",-0.0367660998017634,8.10320412475052,-0.329510030460247,0.753044545961225,0.819526568890862,-7.68101835340869,0.819526568890862
"CNTNAP3P7",-0.0575862980284061,5.193884775027,-0.329094172011636,0.75334342518602,0.819807756408077,-7.68117512538632,0.819807756408077
"KRT8P45",-0.105526217162951,4.86227156943277,-0.328054895626732,0.754090562553359,0.820576693545645,-7.6815660812013,0.820576693545645
"RPL5P30",-0.072439536654989,5.28139745460385,-0.32753016887366,0.754467900490661,0.820943165994596,-7.68176302023757,0.820943165994596
"POU2F3",-0.0370062881608,4.97323105817368,-0.327244832101527,0.754673121167352,0.821122326804729,-7.68186998443129,0.821122326804729
"NCOA5",0.0312970187155379,10.2443645282761,0.32707174158625,0.75479762250495,0.821213646372967,-7.68193482704951,0.821213646372967
"C11orf54",0.0338452165171077,10.2703073588775,0.32678345711509,0.755004999025752,0.821352662795906,-7.68204274979963,0.821352662795906
"CCDC22",0.0428582410300287,8.64102421891998,0.326745365274777,0.755032401947238,0.821352662795906,-7.68205700307015,0.821352662795906
"PREB",0.0409487197703609,10.164059774559,0.326724889918619,0.755047131892862,0.821352662795906,-7.68206466391185,0.821352662795906
"ASPH",0.0381078169546782,12.70486882084,0.326656935204446,0.755096019239484,0.821361700635555,-7.68209008580635,0.821361700635555
"ENSG00000267288",-0.0384861065990512,7.82080290049455,-0.326322993644744,0.755336278449795,0.821578892584357,-7.68221493938344,0.821578892584357
"DDX31",-0.0299599897451248,9.45297226141331,-0.32610108262119,0.755495952244189,0.821708413185096,-7.68229783900663,0.821708413185096
"RDM1P5",-0.0512214693715078,5.09333252501706,-0.325788674114081,0.755720765040745,0.821908763913262,-7.68241445368193,0.821908763913262
"PRKRA",0.0388565073349199,10.7473379761169,0.325565712739044,0.755881226696998,0.822006748472795,-7.68249761391353,0.822006748472795
"NHSL1-AS1",-0.0581221226263606,6.29157430666085,-0.325550631513028,0.755892080891464,0.822006748472795,-7.68250323693214,0.822006748472795
"ENSG00000250390",-0.0446309861662977,5.47031444708618,-0.325175966572351,0.756161752737552,0.822255830942344,-7.68264284965204,0.822255830942344
"MOBP",0.0566981222725191,5.25323465164935,0.324604215559214,0.756573353492252,0.822634567258618,-7.68285560419947,0.822634567258618
"OXCT2P1",0.116472077599961,4.98425752019345,0.324579247767975,0.756591329681658,0.822634567258618,-7.68286488674161,0.822634567258618
"ENSG00000286873",0.0554294742324695,6.12762002569503,0.324439513886428,0.756691937690438,0.822699764236567,-7.68291682437614,0.822699764236567
"GSTA4",0.0395781091382403,8.22824788291908,0.324358138786354,0.756750529949516,0.822719275792681,-7.6829470607109,0.822719275792681
"ALKBH7",-0.106890518002,8.55916266530788,-0.323890559535443,0.75708723396189,0.822999741591058,-7.68312065602272,0.822999741591058
"PCED1B",-0.0411998778933267,5.80211420834993,-0.323886958903155,0.757089827005855,0.822999741591058,-7.68312199186969,0.822999741591058
"ENSG00000273217",0.368566300692524,6.74624671714991,0.323369795595674,0.757462305175677,0.823360427423923,-7.68331371232678,0.823360427423923
"MORN3",-0.0299331856613261,6.3241084593851,-0.323210509203671,0.757577042925548,0.823440926101171,-7.68337270268217,0.823440926101171
"AKAP8",0.0324166971698698,9.91050329010116,0.323147397765154,0.757622505460574,0.823446122162244,-7.68339606770286,0.823446122162244
"RPL26P30",0.0558129153798843,5.02911189416623,0.322960677266689,0.757757016424631,0.823548097586498,-7.68346516928392,0.823548097586498
"LINC01608",-0.0657709223554095,6.65481730103032,-0.322895590903127,0.757803905963897,0.823554838153839,-7.68348924740207,0.823554838153839
"OR10K1",0.0876407055243256,5.56361512517924,0.322720663757877,0.757929932639181,0.823647576857601,-7.68355393691481,0.823647576857601
"LINC01186",0.0543303223295224,5.00976570236981,0.322239135970508,0.758276892639199,0.823980382450745,-7.68373183505655,0.823980382450745
"CPSF1P1",0.123656379425371,5.11730005615948,0.322169830637704,0.758326834988447,0.823990415879383,-7.68375741846395,0.823990415879383
"PLB1",-0.0304112109317645,5.7466966328634,-0.322097509908304,0.75837895163751,0.824002810676624,-7.68378410931044,0.824002810676624
"ENSG00000279413",-0.0728315921693143,5.99962482428174,-0.321714519351397,0.758654970203438,0.824241372212395,-7.68392536017246,0.824241372212395
"ARMC6",-0.0556954132265499,10.2879881737244,-0.321679851776838,0.758679956804957,0.824241372212395,-7.68393813792044,0.824241372212395
"VPS16",0.0411294829372064,9.65533990590217,0.321565294512003,0.758762526053603,0.824286833933607,-7.68398035189086,0.824286833933607
"GAS5-AS1",0.0545986780269132,5.50039889132909,0.321407306081088,0.758876404839271,0.824366302278307,-7.68403854627681,0.824366302278307
"TAS2R64P",-0.0453687304459987,5.03802649896483,-0.320954445252403,0.759202865776848,0.824676677374111,-7.68420520262208,0.824676677374111
"ADIPOR2",0.030243705643219,12.9744048367379,0.320356569884725,0.759633949060527,0.82510065805925,-7.684424877799,0.82510065805925
"PIGM",0.0321432313898118,9.47390941573211,0.319857587668992,0.759993800459755,0.825447226610104,-7.68460791408414,0.825447226610104
"LINC02245",0.0408952691686872,5.79186494819995,0.31978182713295,0.760048442514005,0.825462280674248,-7.68463568040344,0.825462280674248
"ZNF671",-0.049572068238013,7.73583395329873,-0.319648835123041,0.7601443662689,0.825498901123262,-7.68468440675078,0.825498901123262
"UBXN1",0.0440234503719452,10.6857621470443,0.319621992165276,0.760163727979669,0.825498901123262,-7.68469423924662,0.825498901123262
"RSPH4A",0.0589169442243342,5.95566304874151,0.319374202148302,0.760342466865069,0.82564870556952,-7.68478496631836,0.82564870556952
"ENSG00000237480",0.0615719467602025,5.28911113819298,0.319224049717629,0.76045078453192,0.825722028309136,-7.68483991079421,0.825722028309136
"ATP2B1",-0.035847393349794,12.0396360077293,-0.318790643083664,0.760763470877848,0.826017241392475,-7.68499836491764,0.826017241392475
"ENSG00000275311",0.100983226353677,5.54344110053847,0.318554453619751,0.76093389345051,0.826157964776687,-7.68508462856364,0.826157964776687
"SYDE1",0.0529716519902355,9.99534314439007,0.318156047162162,0.76122139710082,0.826425783024979,-7.68522999881202,0.826425783024979
"LINC02937",0.0319488591747978,5.48529777936544,0.318076053996222,0.761279127936522,0.826444131325457,-7.68525916546187,0.826444131325457
"ENSG00000235138",-0.0517482034294963,5.13626542648996,-0.317704811610158,0.761547074562782,0.826690675545708,-7.68539443294022,0.826690675545708
"SNX17",0.0474919725974843,11.5137466649713,0.31754830367224,0.761660046070994,0.826768970479057,-7.68545141309197,0.826768970479057
"ZNRD2-DT",-0.0331914021337445,6.0217635958054,-0.317487834164624,0.76170369626447,0.826772013947294,-7.68547342107534,0.826772013947294
"ENSG00000270460",0.103882237220736,4.98788696781876,0.317396779275961,0.761769426472162,0.826799021997053,-7.68550655301796,0.826799021997053
"ZNF518A",0.0503755183306094,9.75436768317751,0.317216966207996,0.76189923535887,0.826895572273399,-7.68557195421975,0.826895572273399
"FAM157C",-0.0807001846076032,5.88078776352884,-0.317055162092105,0.762016050668307,0.826978010915082,-7.68563077462029,0.826978010915082
